 going for stroll in sunshine.... sending out love vibrations all good things welcome xo,Positive
 going home now. Tim is hella drunk!,Negative
 going home to see my baby   [dont be ashamed of your faith],Positive
 going home. Miss him already,Negative
 going home. We all knew I would have to go home some time ,Negative
 going on holiday 2 weeks today! NOOOOO! ,Negative
 going out for dinner with the family ,Positive
 going out in the sun ... right now,Positive
- going somewhat out of town? (x visitng uncle boyet &amp; famm! ,Positive
 going to bed,Negative
 going to bed goodnight amazing twitters!!,Positive
 going to bed to end this day,Negative
 going to bed.,Positive
' going to bed. shopping tomorrow. nsn / ftsk mondaaay. ,Positive
 Going to CarthageLand.,Negative
 Going to change my username...my friend thinks it's corny... Haha...but..I'll just try something else out... :],Negative
 going to disembodied  spm&lt;3,Positive
 going to find motrin then sleeeep.,Positive
 going to get piï¿½a colada mix to wallow in my sorrows,Negative
- Going to get ready for my dentist appointment at 130 PM ,Negative
 Going to harass Mrs Dull with Mom like the good obnoxious neighbors we are~,Positive
" going to have such a bad day, I love my x3 I can't believe I backed into someone ",Negative
" going to heAD to bed its late in here, up for a swim in the mornin ",Negative
 going to lay down. Fuck tonight,Negative
 Going to London Expo this weekend  Can't wait !,Positive
 Going to london in 2 days hopefully ,Positive
 going to master classes without my car... I miss you my VW!!!,Negative
" going to reach 1,000  party time! ",Positive
 going to sleep !!!! this monster just crashed !!,Positive
 going to sleep. good day later today. goodnight.,Positive
 Going to take my bike to Claremont Village via the train and get some tofu scramble and explore!,Positive
 going to the dr. No bueno.,Negative
- Going to walk my daily mile later today. Getting ready 4 a late breakfast w/ parents then going 2 Frisco 4 the next FC Dallas match ,Positive
 going upstairs.chilling.bed.work D: txttt me! oh btw im excited to see bia tommrow!!!!,Positive
"- goingg to sleep  school , then out for pizzaa!",Positive
 Golden Spoon and dance/music love.,Positive
-- gonna get some beauty rest &amp; dream about mr. handsome  15 more days!,Positive
" gonna go home for summer I think, maybe longer.",Negative
' gonna go to school now too  blegh.. hate it,Negative
 gonna make the best of next week.,Positive
 gonna miss at least the first half of the PT:Honolulu top8 webcast,Negative
 gonna miss jesse mccartney's live stream from kiss concert cuz i have to babysit. figures they dont have internet klfjhadsklfhk fml,Negative
 gonna try and drink some water and eat for the first time in 7h ! Hope it stays down &lt;3 last time I ate @ kebabking.,Negative
 gonna volunteer at madres school again -still trying to calculate how many friends i really have.,Positive
" Gonna WoW for a bit. Later, Twitter &lt;3",Positive
 gonnna be to worst few hours ever. Loveee yous and miss youss,Negative
 good bye eighth graders...,Negative
 good dance... make little love... get down tonight...!!!! &lt;3,Positive
 good dayyyyy,Positive
" good effort NSW, should've been closer",Negative
 good i hope not my love because im in love with u and dont wanna lose u,Positive
 good luck!!,Negative
 Good morning,Positive
 good morning beautiful peoplee.,Positive
 good morning every body!!!!,Positive
- Good morning Followers. Hope you all have a great day! ,Positive
" Good morning guys making my morning cup of coffee xoxox, A rainy day off... whatever!",Positive
